ProductID   SafetyStockLevel ReorderPoint
707         4                3
708         4                3
709         4                3
710         4                3
711         4                3
712         4                3
713         4                3
714         4                3
715         4                3
716         4                3
717         500              375
718         500              375
719         500              375
722         500              375
723         500              375
725         500              375
726         500              375
727         500              375
729         500              375
730         500              375
732         500              375
733         500              375
736         500              375
738         500              375
739         500              375
741         500              375
742         500              375
743         500              375
744         500              375
745         500              375
747         500              375
748         500              375
749         100              75
750         100              75
751         100              75
752         100              75
753         100              75
754         100              75
755         100              75
756         100              75
757         100              75
758         100              75
759         100              75
760         100              75
761         100              75
762         100              75
763         100              75
764         100              75
765         100              75
766         100              75
767         100              75
768         100              75
769         100              75
770         100              75
771         100              75
772         100              75
773         100              75
774         100              75
775         100              75
776         100              75
777         100              75
778         100              75
779         100              75
780         100              75
781         100              75
782         100              75
783         100              75
784         100              75
785         100              75
786         100              75
787         100              75
788         100              75
789         100              75
790         100              75
791         100              75
792         100              75
793         100              75
794         100              75
795         100              75
796         100              75
797         100              75
798         100              75
799         100              75
800         100              75
801         100              75
802         500              375
804         500              375
805         500              375
806         500              375
807         500              375
808         500              375
809         500              375
810         500              375
811         500              375
813         500              375
814         500              375
815         500              375
816         500              375
817         500              375
819         500              375
820         500              375
822         500              375
823         500              375
824         500              375
825         500              375
826         500              375
827         500              375
828         500              375
830         500              375
831         500              375
832         500              375
833         500              375
835         500              375
836         500              375
838         500              375
839         500              375
841         4                3
843         4                3
844         4                3
849         4                3
850         4                3
852         4                3
853         4                3
854         4                3
855         4                3
856         4                3
857         4                3
858         4                3
859         4                3
860         4                3
861         4                3
862         4                3
863         4                3
864         4                3
865         4                3
866         4                3
867         4                3
868         4                3
869         4                3
870         4                3
871         4                3
872         4                3
873         4                3
874         4                3
875         4                3
876         4                3
877         4                3
878         4                3
879         4                3
880         4                3
881         4                3
882         4                3
883         4                3
884         4                3
885         500              375
886         500              375
887         500              375
888         500              375
889         500              375
890         500              375
891         500              375
892         500              375
893         500              375
894         500              375
895         500              375
896         500              375
897         500              375
898         500              375
899         500              375
900         500              375
902         500              375
903         500              375
904         500              375
905         500              375
906         500              375
907         500              375
908         500              375
909         500              375
910         500              375
911         500              375
913         500              375
914         500              375
915         500              375
916         500              375
917         500              375
918         500              375
919         500              375
920         500              375
921         500              375
922         500              375
923         500              375
924         500              375
925         500              375
926         500              375
927         500              375
928         500              375
929         500              375
930         500              375
931         500              375
932         500              375
933         500              375
934         500              375
935         500              375
936         500              375
937         500              375
938         500              375
939         500              375
940         500              375
941         500              375
942         500              375
943         500              375
944         500              375
945         500              375
946         500              375
947         500              375
948         500              375
949         500              375
950         500              375
951         500              375
952         500              375
953         100              75
954         100              75
955         100              75
956         100              75
957         100              75
958         100              75
959         100              75
960         100              75
961         100              75
962         100              75
963         100              75
964         100              75
965         100              75
966         100              75
967         100              75
968         100              75
969         100              75
970         100              75
971         100              75
972         100              75
973         100              75
974         100              75
975         100              75
976         100              75
977         100              75
978         100              75
979         100              75
980         100              75
981         100              75
982         100              75
983         100              75
984         100              75
985         100              75
986         100              75
987         100              75
988         100              75
989         100              75
990         100              75
991         100              75
992         100              75
993         100              75
994         500              375
996         500              375
997         100              75
998         100              75
999         100              75
